      1      1   2894    1.7997      188 199   3 185   4 195      0.0000
  2112    0.000    0.000     -9.9558  0.940    -2.17     7.12    -0.20     0.20
  2112    0.000    0.000      9.9558  0.940    -3.08    -8.05     0.20     0.20
  -211   -0.196    0.062     -3.3539  0.140    -6.44     3.05   -33.85    34.20
   111    0.366   -0.026      3.4386  0.135    10.31     4.30   139.30   140.00
  2112   -0.038    0.177      9.8357  0.940     2.51     6.71   140.18   140.80
  2112    0.000    0.000      9.9558  0.940     6.91    -0.38     0.20     0.20
  -211   -0.048    0.073     -4.2585  0.140    -4.19    -6.13  -141.38   142.00
  2212   -0.487   -0.232     12.9070  0.938     8.68     2.92   145.17   145.80
  -211   -0.113    0.143      2.0089  0.140     7.22    -3.22   189.13   190.00
  2112    0.000    0.000     -9.9558  0.940     2.24    -9.06    -0.20     0.20
   111    0.014   -0.200     -1.0503  0.135     9.07   -17.99   -67.75    71.60
  2112    0.000    0.000     -9.9558  0.940     1.38    -6.72    -0.20     0.20
  2112    0.183    0.513      7.7874  0.940     6.88     4.69   103.93   104.40
  2112    0.000    0.000      9.9558  0.940     6.47     0.05     0.20     0.20
  -211   -0.025   -0.218     -1.0909  0.140    -2.13    -1.84   -37.26    39.40
   111   -0.120    0.189     -0.9874  0.135     2.19    12.15   -13.55    16.60
   111    0.356   -0.038     -0.9700  0.135 0.11E+06 0.99E+03 -.40E+06 0.43E+06
  2112    0.000    0.000      9.9558  0.940    -6.23    -1.81     0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -5.49     2.85    -0.20     0.20
  2112    0.038   -0.127      8.6287  0.940     6.67    -3.66   131.41   132.00
  2212    0.000    0.000      9.9558  0.940    -6.68    -4.66     0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -0.66    -5.13    -0.20     0.20
  2212    0.083    0.060      5.6807  0.938     8.47     3.61   130.48   131.20
   211   -0.306    0.087      0.3531  0.140   -24.16    39.70    98.73   119.00
  2112    0.000    0.000      9.9558  0.940     2.14     8.35     0.20     0.20
   211   -0.037    0.125      0.2549  0.140    -5.60     4.24    20.01    21.20
   111    0.009   -0.028     -0.3126  0.135 0.11E+06 0.99E+03 -.40E+06 0.43E+06
  2112    0.000    0.000     -9.9558  0.940    -7.65    -0.10    -0.20     0.20
   211    0.109   -0.046      1.9556  0.140     7.87     0.29   154.91   155.60
    22    0.180   -0.045     -0.0078  0.000    -5.07     0.15    -0.03     0.80
    22    0.094   -0.090     -0.0236  0.000     1.60     0.78    -0.14     0.80
    22   -0.168    0.278      0.0829  0.000    -0.27     2.41     0.20     0.80
    22    0.400   -0.239     -0.1404  0.000     0.41    -0.13    -0.23     0.80
    22   -0.523   -0.081     -0.1705  0.000    -3.29     1.21    -0.25     0.80
    22    0.146   -0.004     -0.0594  0.000     4.34    -3.78    -0.30     0.80
    22    0.081    0.131     -0.0661  0.000    -3.46     2.77    -0.32     0.80
    22    0.005   -0.011      0.0088  0.000    -2.56     0.09     0.58     1.00
    22   -0.111    0.024      0.1052  0.000    -0.94    -2.72     0.68     1.00
    22    0.050   -0.097      0.1148  0.000     0.78     7.10     0.87     1.20
    22   -0.059   -0.101     -0.1317  0.000     0.09    -4.25    -0.90     1.20
   111    0.069    0.271     -0.0087  0.135     4.36     8.32    -3.98     6.80
  -211   -0.042    0.983     -1.1301  0.140     5.09     5.64    -1.99     2.80
   111    0.437    0.086     -0.4608  0.135     5.62    -2.42    -0.79     1.60
   111   -0.044   -0.014      0.4832  0.135    -7.48    -4.78     6.59     9.20
  -211   -0.511    0.058      0.0196  0.140   -12.53     3.42    -0.90    10.00
  -211    0.068    0.205     -1.2558  0.140 0.83E+05 0.66E+05 -.72E+06 0.75E+06
   211    0.234    0.198     -0.2120  0.140     6.55     6.80    -4.91     6.80
   111   -0.244   -0.606     -0.0247  0.135   -12.50    -7.99    -1.95    10.20
    22    0.076    0.179      0.2710  0.000     4.85    -1.74     1.14     1.40
