       1      49    3391    3.4062    7  165    0  163
     2    1.571    1.012     -0.397  0.006     3.56     4.71    -0.63     1.61
    -2    0.397    0.082     -0.447  0.006     2.95     2.25    -2.80     4.76
    -1    0.897   -0.745      1.286  0.010     3.12     2.47     0.79     1.58
    -1   -0.350   -0.046     -0.172  0.010    -0.01     4.60    -0.09     3.21
    -1    0.220    0.448     -0.358  0.010     3.13     4.25    -0.86     2.31
     1   -0.429    0.486     -0.002  0.010    -0.78     2.53     0.05     1.83
    -2   -0.228    0.270      0.108  0.006    -1.92     6.90     0.58     6.52
     2   -0.071   -0.656      0.778  0.006     2.14     0.78     1.88     3.61
     2    0.124   -0.253     -0.521  0.006     3.35     0.01    -1.05     1.78
     2    0.812   -1.490     -0.881  0.006     4.57     0.07    -0.53     1.44
    -2    0.403    0.424      0.254  0.006     1.66     1.83     0.17     1.87
    -2    0.305   -0.235      0.229  0.006     1.45     0.32     0.65     1.76
    -1    0.050    0.086     -0.040  0.010     1.08     0.72    -0.47     1.74
     2   -0.152    0.105      0.007  0.006    -0.86    -0.99    -0.20     5.15
     1   -0.223   -0.227      0.637  0.010    -0.82    -1.50     4.20     5.59
     2   -0.415   -0.078      0.042  0.006    -2.67    -2.04     0.66     3.30
     2    0.119    0.136      0.281  0.006     2.03     0.98     9.45    11.49
    -2    0.854    0.611     -0.784  0.006    -2.14     2.62    -0.52     1.15
     2   -0.530    0.339     -0.583  0.006    -1.43    -1.36    -3.86     6.14
    -1    1.196   -0.235     -0.357  0.010     7.33    -3.19    -1.01     5.28
    -1    0.326   -1.275      0.061  0.010     1.69    -1.72    -0.22     3.19
     1   -0.107    0.068     -0.078  0.010     0.94    -1.91     1.75     5.16
    -3   -0.066   -0.117     -0.168  0.199     3.83    -3.31    -0.01     0.09
     2    1.506   -0.908      0.304  0.006     4.28    -3.61    -0.01     0.63
     1    0.035    0.024     -0.039  0.010     5.63     2.48    -0.00     1.29
     2   -0.392   -0.597     -0.261  0.006    -1.87   -12.28    -6.26    17.86
     1   -0.257   -0.119      0.345  0.010     2.30    -0.74     2.00     6.15
     2    0.546    0.297      0.108  0.006     1.83     0.61     0.16     2.41
     1    0.215    0.073     -0.447  0.010     1.48     1.32    -3.68     4.36
     1   -0.131    0.046     -0.440  0.010     0.39    -0.43    -1.31     2.58
     2    0.144    0.068      1.002  0.006    -1.04    -1.73     3.19     5.07
     1    0.318   -0.231      0.796  0.010     0.79    -1.18     4.19     6.63
     2    0.539    0.056     -0.441  0.006     1.26    -3.22    -2.48     3.89
     3   -0.544   -0.115     -0.416  0.199    -3.02    -0.82    -3.25     4.89
    -2   -1.169    1.486     -0.216  0.006    -3.27    -0.30    -0.77     3.15
    -2    0.177   -0.261      0.045  0.006     0.13    -1.81     1.57     5.20
    -1   -0.022   -0.146     -0.397  0.010     4.41    -1.31    -0.48     1.74
    -2    0.095   -0.117     -0.279  0.006     4.48    -0.50    -0.05     2.02
     2    0.147   -0.600      0.103  0.006    -2.64    -2.01     0.59     3.30
     1    0.356   -0.026     -0.153  0.010     0.04     0.64    -1.22     3.92
     2    0.134    0.051      0.106  0.006     0.24     2.29    -1.44     4.98
     3    0.114   -0.004      0.133  0.199    -0.12    -4.54     2.12     3.48
    -2   -0.442   -1.285     -0.310  0.006    -0.85    -4.61    -0.06     1.29
     2   -0.097    0.153     -0.025  0.006    -0.43     1.64    -0.02     2.15
    -2    0.051    0.263     -0.303  0.006    -2.93     6.69    -7.31    10.92
     1   -0.150    0.234      0.159  0.010    -0.34     5.02     0.43     3.43
     2   -0.207   -0.095     -1.016  0.006     2.47     4.46    -0.96     1.34
     1    0.034    0.114     -0.215  0.010     2.59     3.77    -0.10     0.21
    -1   -0.008   -0.097     -0.458  0.010     2.39     4.27    -3.47     4.78
     1   -0.275   -0.073     -0.167  0.010    -1.16     1.39     1.06     3.65
     1    0.534    0.207      0.433  0.010     4.62     0.60     0.61     3.99
     3    0.106    0.326      0.565  0.199     2.64    -0.12     1.09     3.58
     2   -0.499   -0.343      2.434  0.006     0.23    -0.64     6.52     7.60
     2    0.184   -0.137     -0.131  0.006     4.70    -0.18    -0.07     0.51
     2   -0.067   -0.099      0.126  0.006     4.42    -1.30    -0.57     1.74
     2    0.233    0.137      1.025  0.006     4.54     0.35     4.59     4.92
     2    0.147    0.066      0.162  0.006    -1.01    -1.44     3.25     5.38
    -2   -0.189    0.020      0.136  0.006    -2.62    -3.09     0.63     3.35
     2    0.716   -0.436      0.095  0.006     2.44    -3.46    -0.06     0.49
    -3   -0.402   -1.045      0.294  0.199     1.99    -3.78     0.19     0.87
     2    1.050   -0.739     -0.120  0.006     5.48    -3.90     0.00     0.69
    -1    0.302   -0.475     -0.185  0.010     5.43    -3.84    -0.06     0.62
    -2    0.286    0.070     -0.011  0.006     5.23    -0.00     0.39     3.28
     2   -0.424   -0.657     -0.266  0.006     4.27    -1.59    -0.80     1.90
    -1    0.143    0.001      0.042  0.010     6.61     1.24     2.33     2.69
     1   -0.590   -0.005      0.677  0.010     4.97     0.02    -0.19     2.78
     3   -0.354    1.098      0.430  0.199     3.99     2.36     0.15     1.26
    -2    0.011   -0.090     -0.202  0.006     1.16     0.09     0.33     3.85
     1    0.131   -0.499      0.241  0.010     0.67    -0.03     2.07     3.65
    -2    0.590    0.494     -0.004  0.006     4.21     4.92     0.82     4.96
     3   -0.239   -0.114     -0.089  0.199    -2.74    -0.26    -1.68     4.45
    -1   -0.146   -0.568     -1.608  0.010    -0.12     0.28    -1.70     2.40
     3    0.234   -0.450     -0.205  0.199    -2.67    -5.56    -0.70     2.51
    -3    1.295   -0.194     -1.341  0.199     0.20    -4.85    -1.29     2.89
    -2   -0.220    0.149      0.163  0.006     1.90     3.17     2.74     3.48
    -3   -0.249    0.374     -1.174  0.199     2.59     2.33    -1.86     2.60
    -3    0.190    0.654     -0.262  0.199     2.95     3.17     0.09     1.55
     2    0.255   -0.171      0.269  0.006     1.06     3.59     3.74     4.92
     1   -0.062   -0.013     -0.100  0.010    -0.15     3.34     2.22     5.64
     2   -0.025    0.770      0.045  0.006     2.13     4.12    -0.41     2.61
     1    0.263   -0.626      0.291  0.010     7.66     1.79     0.19     0.54
     2    0.432    0.366     -0.095  0.006     7.19     2.25    -0.32     0.71
     1    0.963    0.184      0.638  0.010     8.10     2.14     0.32     0.75
    -1    0.598   -0.401      0.238  0.010     1.06    -1.36     0.68     3.28
     2    0.608   -0.098     -0.548  0.006     5.59    -0.00    -7.76     9.97
    -2   -0.084    0.174     -0.053  0.006    -1.23     3.13    -3.69     4.57
     1    1.381    0.346     -0.146  0.010     1.92     2.72    -0.15     1.48
    -1   -0.266   -0.307     -0.099  0.010    -0.92     3.05    -0.43     1.30
     1   -0.065    0.040     -0.041  0.010    -0.50     1.90    -8.26     9.49
     2    0.114   -0.077     -0.010  0.006     4.26     3.04    -0.08     0.28
     1    0.266   -0.135      0.476  0.010     5.68     2.12     0.63     2.26
     2    0.396    0.038     -0.219  0.006    10.11     0.09    -0.34     6.66
     1   -0.782    0.289      0.821  0.010    -3.72     1.75     2.63     4.67
    -2   -0.546   -0.375      0.662  0.006    -0.83     1.35     0.25     0.62
    -1   -0.433   -0.048      0.927  0.010    -3.54     1.04     3.00     3.49
     1   -0.505    0.116      2.678  0.010    -1.64     3.02    25.01    25.55
     2   -0.189    0.084      0.188  0.006    -3.09     2.26     0.00     0.11
     1   -0.099    0.025      0.600  0.010    -2.73     2.40     0.61     0.83
     1    0.572    0.087     -0.181  0.010     2.98     1.22    -0.03     8.80
    -1    0.144    0.104     -0.064  0.010     1.37     1.54    -0.92     1.88
     1    0.312    0.712      0.150  0.010     2.43     3.62     0.00     4.80
     1   -0.474    0.331      0.389  0.010    -0.03     5.97     0.48     0.97
     2    0.146    0.137     -0.284  0.006     5.81     5.33    -6.52     9.20
     1   -0.871    0.534      0.221  0.010     0.24     5.29     0.02     0.11
    -2   -0.277    0.542     -0.358  0.006    -0.17     4.73    -1.14     2.80
     1    0.111   -0.079     -0.253  0.010     1.10     1.03    -3.01     3.86
    -1    0.001    0.000     -0.518  0.010    -2.64     1.10    -0.04     0.11
    -1    0.659    0.281      0.080  0.010    -0.31     3.39     0.26     3.57
    -1   -0.024   -0.036     -0.045  0.010    -3.52     0.78    -2.81     6.51
    -3    0.222    0.007     -0.006  0.199     0.75     6.60    -0.03     0.67
     1   -0.489    1.278     -0.622  0.010     0.33     6.63    -0.13     0.42
    -1   -0.328   -0.130      0.043  0.010    -5.38    -4.24    -2.50     9.79
     2   -0.144   -0.029     -0.216  0.006     1.12     0.39    -6.02     7.98
    -2   -0.062   -0.071     -0.324  0.006     1.00     1.74    -1.87     3.66
     2    0.208   -0.032     -0.017  0.006     1.75     3.15     0.38     3.55
     2   -0.165   -0.492     -0.160  0.006    -3.36    -3.18    -0.14     0.44
     1   -0.396    0.047      0.476  0.010    -3.58    -3.32     0.05     0.11
     2    0.460   -0.130     -0.153  0.006    -0.32    -2.47    -0.14     4.63
    -2   -0.222   -0.095     -0.443  0.006     1.77    -0.30    -0.96     5.79
    -2   -0.087   -0.009     -0.191  0.006     0.82     2.30     0.14     0.62
    -2    0.174   -0.148     -0.030  0.006     2.39    -0.67    -2.14     4.77
     1   -0.002    0.056      0.113  0.010    -3.87    -0.74     2.65     3.50
     2    0.089   -0.116      0.185  0.006    -1.96    -0.65     4.59     5.37
     1   -0.674   -0.034      0.087  0.010    -4.70     0.88     0.74     3.04
