      1      1   2727    1.8292      190 192   2 188   6 186      0.0000
   211    0.044   -0.128     -0.1852  0.140    -7.78   -15.16   -44.06    49.00
  2112    0.000    0.000     -9.9558  0.940    -4.02     6.17    -0.20     0.20
  2112    0.000    0.000      9.9558  0.940     1.84     7.44     0.20     0.20
  2212    0.000    0.000     -9.9558  0.940     5.95    -7.41    -0.20     0.20
   111   -0.079   -0.009      0.7648  0.135     9.12    -4.32    36.01    37.00
  2112    0.000    0.000      9.9558  0.940     6.57     1.17     0.20     0.20
   111   -0.097    0.202      3.4115  0.135     7.08    -2.58    85.06    85.40
  2112    0.000    0.000     -9.9558  0.940    -4.43     6.32    -0.20     0.20
  -211   -0.282    0.040      1.4308  0.140   -10.11     2.42    45.56    47.20
  2112    0.000    0.000      9.9558  0.940     0.18     8.32     0.20     0.20
   111   -0.070   -0.144     -3.7710  0.135    -4.44     6.53  -198.12   199.00
  2112   -0.137   -0.205     -9.1686  0.940    -9.78    -0.30   -97.10    97.60
  2112    0.000    0.000      9.9558  0.940     4.09    -5.84     0.20     0.20
   211    0.278    0.576     -0.4599  0.140     6.52    13.83   -12.40    20.00
   211    0.060    0.020      1.3757  0.140     4.51    -5.19    37.77    39.00
  2212    0.000    0.000      9.9558  0.940     6.32     5.59     0.20     0.20
   211   -0.086    0.244     -1.0020  0.140   -11.53     2.76   -84.18    86.80
  2112    0.000    0.000      9.9558  0.940    -2.90    -0.68     0.20     0.20
  2212    0.000    0.000      9.9558  0.940     3.95    -8.08     0.20     0.20
   111    0.553    0.299      0.7810  0.135     0.06     8.01    13.39    16.00
  2112   -0.021   -0.030     10.7769  0.940     6.07    -4.79   109.91   110.40
  2212    0.000    0.000     -9.9558  0.940    -5.67    -5.44    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940     5.58     6.99    -0.20     0.20
  2212    0.000    0.000      9.9558  0.940    -0.27     0.55     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     0.79    -6.50     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     4.13    -5.90     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     6.94    -0.75     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     3.09    -6.32     0.20     0.20
   211   -0.211   -0.070     -3.5074  0.140    -6.91    -4.18   -67.30    67.60
